project_name,repository,file_path,line_number,usage_type,code_snippet,file_url
charm-manila-ganesha,openstack/charm-manila-ganesha,src/templates/rocky/logging.conf,46,Wsgi,qualname = eventlet.wsgi.server,https://opendev.org/openstack/charm-manila-ganesha/src/branch/master/src/templates/rocky/logging.conf
cinder,openstack/cinder,cinder/__init__.py,21,Import,import eventlet  # noqa,https://opendev.org/openstack/cinder/src/branch/master/cinder/__init__.py
cinder,openstack/cinder,cinder/backup/api.py,25,Import,from eventlet import greenthread,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/api.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,30,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,130,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(result),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,165,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(writer),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,170,"Other(""eventlet.tpool"")",return eventlet.tpool.Proxy(reader),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,192,"Other(""The object writer methods must not have any loggin"")","The object writer methods must not have any logging calls, as eventlet",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,193,"Other(""has a bug (https://github.com/eventlet/eventlet/is"")",has a bug (https://github.com/eventlet/eventlet/issues/432) that would,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,202,"Other(""The object reader methods must not have any loggin"")","The object reader methods must not have any logging calls, as eventlet",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,203,"Other(""has a bug (https://github.com/eventlet/eventlet/is"")",has a bug (https://github.com/eventlet/eventlet/issues/432) that would,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,403,"Other(""eventlet.tpool"")",md5 = eventlet.tpool.execute(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,413,Sleep,LOG.debug('Calling eventlet.sleep(0)'),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,414,Sleep,eventlet.sleep(0),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,620,"Other(""eventlet.tpool"")","shalist = eventlet.tpool.execute(self._calculate_sha, data)",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,772,Sleep,eventlet.sleep(0),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/chunkeddriver.py,869,Sleep,eventlet.sleep(0),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/chunkeddriver.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,55,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,135,"Other(""eventlet.tpool"")","meta_obj = eventlet.tpool.Proxy(rados.Object(self._client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,153,"Other(""eventlet.tpool"")","meta_obj = eventlet.tpool.Proxy(rados.Object(self._client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,166,"Other(""eventlet.tpool"")","meta_obj = eventlet.tpool.Proxy(rados.Object(self._client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,175,"Other(""eventlet.tpool"")","meta_obj = eventlet.tpool.Proxy(rados.Object(self._client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,340,"Other(""eventlet.tpool"")",client = eventlet.tpool.Proxy(self.rados.Rados(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,413,"Other(""eventlet.tpool"")",eventlet.tpool.Proxy(volume.rbd_image).discard(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,417,"Other(""eventlet.tpool"")",eventlet.tpool.Proxy(volume.rbd_image).discard(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,495,"Other(""eventlet.tpool"")",eventlet.tpool.Proxy(self.rbd.RBD()).create(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,519,"Other(""eventlet.tpool"")","base_rbd = eventlet.tpool.Proxy(self.rbd.Image(rados_client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,571,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,597,"Other(""eventlet.tpool"")",eventlet.tpool.Proxy(self.rbd.RBD()).remove(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,625,"Other(""eventlet.tpool"")",if src_name in eventlet.tpool.Proxy(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,630,"Other(""eventlet.tpool"")","src_rbd = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,725,"Other(""eventlet.tpool"")",rbds = eventlet.tpool.Proxy(self.rbd.RBD()).list(client.ioctx),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,743,"Other(""eventlet.tpool"")","base_rbd = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,764,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,791,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,794,"Other(""eventlet.tpool"")",base_rbd = eventlet.tpool.Proxy(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,827,"Other(""eventlet.tpool"")",source_rbd_image = eventlet.tpool.Proxy(volume_file.rbd_image),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1000,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1007,"Other(""eventlet.tpool"")",eventlet.tpool.Proxy(self.rbd.RBD()).create(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1017,"Other(""eventlet.tpool"")","dest_rbd = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1026,"Other(""eventlet.tpool"")",meta_io_proxy = eventlet.tpool.Proxy(rbd_fd),https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1132,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1220,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1236,"Other(""eventlet.tpool"")","src_rbd = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1264,"Other(""eventlet.tpool"")",src_rbd = eventlet.tpool.Proxy(self.rbd.Image(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1276,"Other(""eventlet.tpool"")","self._transfer_data(eventlet.tpool.Proxy(rbd_fd), backup_name,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1294,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1297,"Other(""eventlet.tpool"")","base_image = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1356,"Other(""eventlet.tpool"")","with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1358,"Other(""eventlet.tpool"")","base_rbd = eventlet.tpool.Proxy(self.rbd.Image(client.ioctx,",https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1467,"Other(""eventlet.tpool"")",with eventlet.tpool.Proxy(rbd_driver.RADOSClient(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1500,"Other(""eventlet.tpool"")",with eventlet.tpool.Proxy(rbd_driver.RADOSClient(self)) as client:,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/drivers/ceph.py,1570,"Other(""eventlet.tpool"")",with eventlet.tpool.Proxy(rbd_driver.RADOSClient(,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/drivers/ceph.py
cinder,openstack/cinder,cinder/backup/manager.py,39,Import,from eventlet import tpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/backup/manager.py
cinder,openstack/cinder,cinder/cmd/api.py,23,Import,import eventlet  # noqa,https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/api.py
cinder,openstack/cinder,cinder/cmd/api.py,24,MonkeyPatch,eventlet.monkey_patch(),https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/api.py
cinder,openstack/cinder,cinder/cmd/backup.py,28,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/backup.py
cinder,openstack/cinder,cinder/cmd/backup.py,29,MonkeyPatch,eventlet.monkey_patch(),https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/backup.py
cinder,openstack/cinder,cinder/cmd/backup.py,89,"Other(""eventlet.semaphore"")","_semaphore: Union[eventlet.semaphore.Semaphore,",https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/backup.py
cinder,openstack/cinder,cinder/cmd/scheduler.py,23,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/scheduler.py
cinder,openstack/cinder,cinder/cmd/scheduler.py,24,MonkeyPatch,eventlet.monkey_patch(),https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/scheduler.py
cinder,openstack/cinder,cinder/cmd/volume.py,25,Import,import eventlet,https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/volume.py
cinder,openstack/cinder,cinder/cmd/volume.py,26,Import,import eventlet.tpool,https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/volume.py
cinder,openstack/cinder,cinder/cmd/volume.py,33,"Other(""eventlet.monkey_patch"")",eventlet.monkey_patch(os=False),https://opendev.org/openstack/cinder/src/branch/master/cinder/cmd/volume.py
